HDI,GE,EPI,BH,PAR,TBP,%RE,CO2/Capita,Solar,Wind,cluster
0.6859999999999999,0.326,0.267,0.433,0.424,0.13,0.392,0.171,0.292,0.226,1
0.606,0.5770000000000001,0.2,0.8320000000000001,0.716,1.0,0.312,0.079,0.915,0.069,0
0.659,0.43200000000000005,0.083,0.672,0.525,0.8,0.521,0.057999999999999996,0.711,0.083,0
0.789,0.787,0.1,0.6,0.128,1.0,0.0,0.48700000000000004,0.597,0.0,4
0.75,0.556,0.1,0.361,0.375,1.0,0.21600000000000003,0.166,0.34600000000000003,0.109,4
0.10300000000000001,0.297,0.8170000000000001,0.501,0.35600000000000004,0.872,0.741,0.005,0.848,0.064,2
0.069,0.163,0.833,0.425,0.256,0.467,0.9470000000000001,0.0,0.687,0.026000000000000002,2
0.48100000000000004,0.545,0.833,0.36700000000000005,0.021,0.16899999999999998,0.255,0.032,0.804,0.256,1
0.355,0.33899999999999997,0.7170000000000001,0.434,0.315,1.0,0.685,0.016,0.6609999999999999,0.053,2
0.3,0.284,0.917,0.6729999999999999,0.278,0.68,0.893,0.008,0.716,0.044000000000000004,2
0.95,0.884,0.6,1.0,0.292,0.675,0.24600000000000002,0.40299999999999997,0.18600000000000003,0.23600000000000002,5
0.005,0.063,0.6,0.713,0.345,0.97,0.8959999999999999,0.003,0.8190000000000001,0.027000000000000003,2
0.006999999999999999,0.106,0.867,0.7390000000000001,0.195,0.774,0.9440000000000001,0.003,0.9640000000000001,0.27399999999999997,2
0.812,0.726,0.183,0.762,0.324,0.446,0.282,0.121,0.835,1.0,5
0.652,0.598,0.183,0.579,0.205,0.085,0.145,0.184,0.413,0.187,1
0.6629999999999999,0.493,0.2,0.5589999999999999,0.53,0.773,0.34,0.053,0.605,0.063,0
0.284,0.08199999999999999,0.15,0.205,0.14300000000000002,0.6,0.609,0.008,0.6509999999999999,0.047,2
0.7390000000000001,0.5760000000000001,0.11699999999999999,0.337,0.569,0.98,0.395,0.042,0.61,0.27699999999999997,0
0.256,0.36200000000000004,0.11699999999999999,0.442,0.457,0.981,0.703,0.008,0.6509999999999999,0.024,2
0.812,0.5720000000000001,0.28300000000000003,0.32299999999999995,0.451,1.0,0.364,0.11800000000000001,0.313,0.33799999999999997,4
0.691,0.435,0.133,0.451,0.34,0.693,0.231,0.066,0.7440000000000001,0.083,5
0.8759999999999999,0.71,0.183,0.21899999999999997,0.14800000000000002,1.0,0.134,0.166,0.693,0.059000000000000004,4
0.899,0.685,0.067,0.43,0.501,1.0,0.163,0.261,0.142,0.132,4
0.97,0.9329999999999999,0.25,0.355,0.354,0.8590000000000001,0.391,0.161,0.062,0.226,4
0.231,0.307,0.35,0.693,0.077,0.078,0.308,0.018000000000000002,0.912,0.264,3
0.618,0.414,0.517,0.353,0.762,0.85,0.09,0.066,0.623,0.21600000000000003,0
0.643,0.391,0.267,0.349,0.401,0.99,0.17800000000000002,0.061,0.747,0.096,0
0.648,0.382,0.25,0.431,0.48,0.774,0.18100000000000002,0.066,0.457,0.134,0
0.556,0.376,0.317,0.91,0.107,0.424,0.053,0.063,0.9640000000000001,0.185,1
0.496,0.366,0.36700000000000005,0.359,0.28300000000000003,0.43799999999999994,0.257,0.028999999999999998,0.8759999999999999,0.139,1
0.35200000000000004,0.159,0.483,0.672,0.36200000000000004,1.0,0.054000000000000006,0.113,0.535,0.0,0
0.115,0.061,0.55,0.613,0.109,0.281,0.81,0.005,0.915,0.20800000000000002,3
0.885,0.753,0.36700000000000005,0.628,0.317,1.0,0.319,0.389,0.049,0.162,4
0.162,0.326,0.4,0.563,0.264,0.765,0.995,0.003,0.858,0.107,2
0.62,0.524,0.267,0.825,0.062,0.09,0.309,0.063,0.46299999999999997,0.124,1
0.966,0.9309999999999999,0.7,0.888,0.268,0.728,0.489,0.22399999999999998,0.013000000000000001,0.128,4
0.9009999999999999,0.8029999999999999,0.433,0.345,0.509,1.0,0.16899999999999998,0.13699999999999998,0.245,0.205,4
0.5489999999999999,0.264,0.05,0.815,0.312,0.9520000000000001,0.995,0.066,0.519,0.006,2
0.18100000000000002,0.327,0.16699999999999998,0.40700000000000003,0.306,0.317,0.58,0.008,0.8320000000000001,0.049,3
0.742,0.672,0.85,0.405,0.292,0.537,0.309,0.068,0.307,0.213,5
0.982,0.85,0.8170000000000001,0.375,0.5720000000000001,1.0,0.175,0.239,0.11599999999999999,0.165,4
