Country,HDI,Government_Effectiveness,EPI,BiodiversityHabitat,ProtectedArea,TerrestrialBiomesProtected,RenewableEnergy_%2020,CO2,Practical Potential Solar,Wind Potential,cluster
Kiribati,0.419,0.42,0.183,0.569,0,1,0.455,0.016,0.93,0.039,1
Kuwait,0.732,0.48,0.717,0.793,0.093,0.984,0,0.624,0.814,0.155,0
Kyrgyzstan,0.538,0.315,0.967,0.597,0.209,0.223,0.257,0.042,0.408,0.251,2
Laos,0.389,0.291,0.783,0.578,0.3,0.968,0.464,0.071,0.504,0.118,1
Latvia,0.838,0.737,0.683,0.609,0.323,1,0.457,0.097,0.062,0.119,3
Lebanon,0.622,0.279,0.883,0.181,0.136,0.151,0.052,0.092,0.731,0.143,2
Lesotho,0.236,0.279,0.65,0.339,0.107,0.014,0.425,0.034,0.778,0.268,4
Liberia,0.153,0.151,0.667,0.572,0.174,0.557,0.965,0.008,0.607,0.007,5
Lithuania,0.867,0.722,0.983,0.503,0.342,0.994,0.371,0.126,0.075,0.123,3
Luxembourg,0.927,0.885,0.283,0.423,0.655,1,0.177,0.418,0.127,0.115,3
Madagascar,0.238,0.206,0.083,0.394,0.177,0.291,0.903,0.005,0.791,0.171,4
Malawi,0.158,0.299,0.067,0.461,0.416,1,0.811,0.003,0.791,0.093,5
Malaysia,0.739,0.711,0.067,0.571,0.148,1,0.059,0.213,0.563,0.012,3
Maldives,0.615,0.43,0.2,0.133,0.106,0.024,0.012,0.079,0.791,0.019,2
Mali,0.071,0.226,0,0.754,0.115,0.68,0.848,0.005,0.902,0.138,5
Malta,0.89,0.678,0.217,0.116,0.143,1,0.083,0.095,0.641,0.129,3
Marshall Islands,0.551,0.129,0.367,0.5,0.132,0.05,0.13,0.068,0.734,0.101,2
Mauritania,0.27,0.358,0.5,0.927,0.046,0.03,0.278,0.016,0.907,0.204,4
Mauritius,0.728,0.681,0.383,0.155,0.111,0.278,0.102,0.1,0.641,0.151,2
Mexico,0.684,0.439,0.367,0.571,0.215,0.852,0.107,0.1,0.827,0.115,0
Micronesia,0.401,0.432,0.217,0.478,0.03,0,0.076,0.034,0.574,0.059,2
Moldova,0.632,0.385,0.5,0.282,0.147,0.221,0.285,0.034,0.264,0.094,2
Mongolia,0.609,0.43,0.367,0.743,0.238,0.739,0.037,0.234,0.463,0.206,0
Montenegro,0.773,0.513,0.167,0.419,0.458,0.484,0.45,0.084,0.344,0.224,0
Morocco,0.519,0.448,0.367,0.469,0.465,1,0.12,0.047,0.783,0.225,1
Mozambique,0.11,0.281,0.417,0.566,0.497,0.986,0.73,0.008,0.736,0.063,5
Myanmar,0.336,0.204,0.45,0.531,0.169,0.155,0.665,0.013,0.558,0.048,4
Namibia,0.448,0.499,0.5,0.836,0.799,1,0.336,0.045,1,0.124,1
Nepal,0.369,0.229,0.433,0.408,0.279,0.457,0.831,0.008,0.517,0.142,5
Netherlands,0.977,0.9,0.333,0.267,0.396,0.935,0.082,0.25,0.085,0.194,3
New Zealand,0.954,0.87,0.083,0.572,0.573,0.909,0.344,0.192,0.261,0.713,3
Nicaragua,0.472,0.294,0.867,0.43,0.694,0.939,0.556,0.024,0.649,0.193,1
Niger,0,0.287,0.533,0.854,0.26,0.839,0.863,0.003,0.964,0.18,5
Nigeria,0.258,0.219,0.683,0.457,0.327,0.621,0.882,0.018,0.752,0.074,5
North Macedonia,0.675,0.475,0.917,0.39,0.371,0.705,0.231,0.092,0.393,0.124,0
Norway,1,0.915,0.883,0.812,0.484,0.83,0.673,0.218,0.013,0.411,3
Oman,0.744,0.537,0.767,0.913,0.035,0.14,0,0.366,0.969,0.17,2
Pakistan,0.29,0.316,0.933,0.555,0.095,0.551,0.462,0.029,0.726,0.168,4
Panama,0.748,0.491,0.783,0.377,0.454,0.753,0.27,0.068,0.571,0.144,0
Papua New Guinea,0.286,0.285,0.133,0.93,0.135,0.116,0.549,0.024,0.504,0.047,4
Paraguay,0.593,0.35,0.267,0.678,0.201,0.841,0.656,0.029,0.659,0.088,1
Peru,0.68,0.46,0.133,0.587,0.575,0.817,0.309,0.045,0.677,0.056,1
Philippines,0.575,0.488,0.4,0.423,0.234,0.922,0.257,0.034,0.568,0.17,1
Poland,0.863,0.618,0.35,0.43,0.49,1,0.125,0.239,0.116,0.129,3
Portugal,0.835,0.748,0.35,0.256,0.426,1,0.306,0.132,0.527,0.152,3
Qatar,0.806,0.642,0.333,0.899,0.032,0.634,0,1,0.871,0.09,0
Republic of Congo,0.153,0.148,0.45,0.847,0.28,1,0.773,0,0.602,0.011,5
Romania,0.771,0.409,0.5,0.351,0.351,0.976,0.255,0.1,0.269,0.109,3
Russia,0.764,0.511,0.317,0.95,0.229,0.564,0.035,0.308,0.152,0.225,0
Rwanda,0.265,0.519,0.433,0.404,0.299,0.547,0.949,0.003,0.659,0.015,5
Saint Lucia,0.648,0.529,0.25,0.396,0.675,0.295,0.113,0.061,0.742,0.095,0
Saint Vincent and the Grenadines,0.611,0.529,0.4,0.324,0.711,0.637,0.055,0.053,0.687,0.18,0
Samoa,0.57,0.579,0.383,0.718,0.015,0.425,0.405,0.034,0.581,0.049,2
Sao Tome and Principe,0.41,0.328,0.45,0.232,0.3,1,0.419,0.016,0.457,0.014,1
Saudi Arabia,0.817,0.548,0.467,0.862,0.061,0.28,0,0.484,0.951,0.122,2
Senegal,0.21,0.462,0.117,0.501,0.394,1,0.405,0.018,0.845,0.063,1
Serbia,0.732,0.48,0.1,0.327,0.319,0.503,0.234,0.137,0.297,0.111,0
Seychelles,0.714,0.598,0.083,0,0.076,1,0.014,0.176,0.801,0.142,0
Sierra Leone,0.103,0.21,0.217,0.428,0.15,0.929,0.881,0.003,0.669,0.014,5
Singapore,0.966,1,0.283,0.367,0.051,0.292,0.008,0.187,0.506,0.008,0
Slovakia,0.828,0.635,0.283,0.403,0.469,1,0.137,0.174,0.186,0.131,3
Slovenia,0.929,0.731,0.167,0.466,0.566,1,0.233,0.182,0.238,0.213,3
Solomon Islands,0.307,0.24,0.817,0.896,0.062,0.016,0.537,0.008,0.483,0.051,4
South Africa,0.56,0.562,1,0.598,0.247,0.452,0.115,0.213,0.801,0.154,2
South Korea,0.927,0.801,0.733,0.522,0.162,0.882,0.035,0.339,0.377,0.152,3
Spain,0.906,0.712,0.55,0.293,0.474,1,0.192,0.15,0.53,0.202,3
Sri Lanka,0.689,0.449,0.233,0.382,0.422,0.982,0.569,0.029,0.711,0.161,1
Sudan,0.206,0.093,0.05,0.735,0.092,0.127,0.68,0.013,0.979,0.208,4
Suriname,0.611,0.336,0.383,0.927,0.994,0.844,0.213,0.082,0.736,0.017,1
Sweden,0.979,0.908,0.083,0.817,0.337,0.637,0.581,0.108,0.041,0.209,3
Switzerland,0.996,0.937,0.25,0.498,0.705,0.533,0.268,0.113,0.214,0.324,3
Tajikistan,0.487,0.228,0.183,0.585,0.275,0.755,0.437,0.016,0.512,0.258,1
Tanzania,0.24,0.268,0.133,0.516,0.682,0.989,0.926,0.005,0.809,0.088,5
Thailand,0.68,0.56,0.117,0.419,0.221,0.591,0.263,0.111,0.62,0.073,0
Timor-Leste,0.377,0.267,0.25,0.409,0.242,0.946,0.204,0.011,0.721,0.11,1
Togo,0.215,0.259,0.433,0.399,0.354,0.984,0.831,0.011,0.695,0.036,5
Tonga,0.588,0.514,0.383,0.606,0.051,0.583,0.019,0.034,0.587,0.136,0
